kod	nazev
2514	Chemicky vyrobená vláknina, natronová, sulfátová
25141	Chemicky vyrobena vlaknina z jehlicnateho dreva
25142	Chemicky vyrobena vlaknina z nejehlicnateho dreva
2515	Chem. vyrobená vláknina, natronová, sulfatová, bělená
25151	Chem. vyrobena vlaknina z jehlicnatych drevin, belena
25152	Chemicky vyrobena vlaknina z nejehl. drevin, belena
2516	Vláknina chemicky vyrobená, sulfitová
25161	Chemicky vyrobena vlaknina nebelena
25162	Chem. vyrobena vlaknina polobelena, belena (nerozp.)
2519	Polochemicky vyrobená dřevěná vláknina, vlákniny jiné
25191	Polochemicky vyrobena drevena vlaknina
25192	Vlaknina z jinych rostlinnych materialu
26	Textilní vlákna (jiná než vlněné česance a ostatní česaná vlna) a jejich odpad (nezpracovaný na přízi či tkaninu)
261	Hedvábí
2613	Surové hedvábí (neskané)
2614	Zámotky bource morušového a hedvábný odpad
26141	Zamotky bource morusoveho vhodne ke smotavani
26142	Hedvábný odpad
263	Bavlna
2631	Bavlna, nemykaná a nečesaná
2632	Bavlněný lintr
2633	Bavlněný odpad (vč. přízového odpadu,trhaný materiál)
26331	Prizovy odpad (vc. nitoveho)
26332	Trhany material bavlneny
26339	Ostatni bavlneny odpad
2634	Bavlna, mykaná, česaná
264	Juta a ost. vlákna textilní lýková jn., koudel, odpad
2641	Juta, ostatní textilní lýková vlákna, surová, máčená
2649	Ostatní
265	Vlákna textilní rostlinná (ne bavlna, juta), odpad
2651	Len, surový, zpracovaný, ne spředený, lněná koudel
26511	Len, surovy, maceny
26512	Len, lamany, vochlovany aj. zpracovany, ne spredeny
26513	Lnena koudel, odpad
2652	Pravé konopí, surové, zpracované, koudel, odpad
26521	Prave konopi, surove, macene
26529	Koudel, odpad z praveho konopi
2658	Kokosová, abaková, ramiová aj. textilní vlákna j.n., surová, zpracovaná
266	Vlákna syntetická vhodná ke spřádání
2665	Syntetická staplová vlákna, neupravená k spřádání
26651	Nylonova nebo jina polyamidova vlakna
26652	Polyesterova vlakna, nemykana, necesana
26653	Akrylova, modakrylova vlakna, nemykana, necesana
26659	Synteticka staplova vlakna, neupravena, j.n.
2666	Syntetický nekonečný kabílek k výrobě syntet. vláken
26661	Nekonecny kabilek nylonovy nebo jiny polyamidovy
26662	Nekonecny kabilek polyesterovy
26663	Nekonecny kabilek akrylovy nebo modakrylovy
26669	Synteticky nekonecny kabilek, j.n.
2667	Syntetická staplová vlákna, mykaná aj. upravená
26671	Vlakna nylonova nebo jina polyamidova, mykana
26672	Vlakna polyesterova, mykana
26673	Vlakna akrylova nebo modakrylova, mykana
26679	Synteticka staplova vlakna upravena k spradani, j.n.
267	Vlákna umělá ostatní vhodná ke spřádání, odpad
2671	Umělá vlákna vhodná ke spřádaní
26711	Umela staplova vlakna, nemykana ani jinak upravena
26712	Nekonecny kabilek umely
26713	Umela staplova vlakna, mykana, cesana aj. upravena
2672	Odpad z umělých vláken
26721	Odpad ze syntetickych vlaken
26722	Odpad z umelych vlaken
268	Vlna, vlákna živočišná ostatní (vč. česanců vlněných)
2681	Vlna, potní (vč. vlny prané v rounu)
26811	Vlna, potni, strizni
26819	Vlna, potni, ostatni
2682	Ostatní vlna, nemykaná, nečesaná
26821	Ostatni vlna, odmastena, nekarbonizovana
26829	Ostatni vlna, karbonizovana
2683	Jemná živočišná vlákna, nemykaná, nečesaná
2685	Žíně a další hrubá živoč. vlákna, nemykaná, nečesaná
2686	Odpad z vlny, z jemných, hrubých živočišných vláken
26862	Rozvlaknena vlna, jemna zivocisna vlakna
26863	Vycesky z vlny, z jemnych zivocisnych vlaken
26869	Ostatni odpad z vlny, jemnych, hrubych zivocis.vlaken
2687	Vlna a ost. živočišná vlákna, mykaná nebo česaná
26871	Mykana vlna, cesana vlna ve zlomcich
26873	Vlnene cesance, ostatni cesana vlna
26877	Jemna, hruba zivocisna vlakna, mykana, cesana
269	Oděvy staré a ostatní textilie staré; hadry
2690	Staré oděvy, ostatní staré textílie, hadry
26901	Odevy, pokryvky, puncochove zbozi apod. obnosene
26902	Pouzite, nove hadry, stare motouzy, lana, provazy ap.
27	Surová strojená hnojiva, jiná než v oddíle 56 a surové užitkové nerosty (mimo uhlí, ropy a drahokamů)
272	Hnojiva strojená surová (ne hnojiva umělá)
2721	Hnojiva, živočišná, rostlinná, chemicky zpracovaná
2722	Dusičnan sodný
2723	Přírodní fosfáty vápenaté; hlinito-vápenaté
27231	Prirodni fosfaty vapenate, hlinito-vapenate, nemlete
27232	Prirodni fosfaty vapenate, hlinito-vapenate, mlete
273	Kámen, písek, štěrk
2731	Stavební, pomníkový kámen, hrubě štípaný, řezaný ap.
27311	Bridlice, pr. hrube stipana, rozrezana pilou a jinak
27312	Mramor, travertin, ecaussin a jiny vapencovy kamen
27313	Zula, porfyr, cedic, ost. kameny pomnikove, stavebni
2732	Sádrovec, sádry, vápencové tavidlo, vápenec
27322	Vapencove tavidlo, vapenec k vyrobe vapna, cementu
27323	Sadrovec, anhydrit (bezvody sadrovec)
27324	Paleny sadrovec a sadry, pr. zbarvene, s primesi
2733	Písky, přírodní, všech druhů, případně zbarvené
27331	Kremicite, kremenne pisky
27339	Ostatni pisky
2734	Oblázky, štěrk, štěrkopísek, struska, pazourek apod.
274	Síra a kyz železný nepražený (pyrit)
2741	Síra (nikoli sublimovaná, srážená, koloidní)
2742	Pyrit, nepražený
277	Brusiva přírodní jn. (vč. diamantů průmyslových)
2771	Průmyslové diamanty, vytříděné, př. opracované
27711	Neopracovane, rezane, stipane, brousene
27719	Jinak opracovane
2772	Přírodní brusiva, j.n.
27721	Prach, prasek z prirodnich, syntetickych drahokamu
27722	Smirek, přírodní korund, přírodní granát aj. přírodní brusiva, surové
27723	Pemza
278	Minerály surové ost. (jíl, grafit, kaolin, křemen ap.)
2782	Jíl a ostatní žáruvzdorné materiály
27822	Grafit, prirodni
27823	Dolomit, pr. paleny, hrube stipany, aglomerovany ap.
27824	Uhlicitan horecnaty, prirodni (magnezit)
27825	Kyslicnik horecnaty, paleny, slinuty, ostatni
27826	Kaolin, ostatni kaolinove jily, pr. palene
27827	Bentonit
27829	Ostatni jily, andalusit, kyanit, samot, mullit apod.
2783	Chlorid sodný, čistý, sůl obecná, mořská voda
2784	Osinek
2785	Křemen, slída, živec, kazivec, kryolit, chiolit
27851	Kremen, kremenec, pr. hrube stipany, rozrezany ap.
27852	Slida (vc. odstepku), slidovy odpad
27853	Zivec, leucit, nefelin, nefelinsyenit
27854	Kazivec
2786	Struska, stěr, okuje apod. odpad, j.n.
27861	Granulovana struska z vyroby zeleza, oceli
27862	Struska, okuje, ostatni odpad z vyroby zeleza, oceli
27869	Struska, popel, j.n., vc. popela z chaluh
2789	Minerály, surové, j.n.
27891	Krida
27892	Siran barnaty, uhlicitan barnaty, prirodni
27893	Prirodni steatit, pr. hrube stipany, rezany, klouzek
27894	Surove prirodni boritany, prirodni kyselina borita
27895	Kremicite drte infuzoriove apod. kremicite hlinky
27896	Zivicna bridlice, asfaltove pisky
27897	Zivice, asfalt, prirodni, asfaltity apod.
27898	Vermikulit, perlit, chlority, nelehcene
27899	Mineralni latky, j.n.
28	Rudy kovu a kovový odpad
281	Ruda železná a koncentráty
2814	Pražené kyzy železné, př. aglomerované
2815	Železná ruda a koncentráty, neaglomerované
2816	Aglomeráty železné rudy
282	Odpad, šrot železný, ocelový, ingoty ze železa, oceli
2821	Odpad a šrot z litiny
2822	Odpad a šrot ze slitinové oceli
28221	Odpad a srot ze slitinove nerezavejici oceli
28229	Odpad a srot z jine slitinove oceli
2823	Jiný železný odpad a šrot
28231	Odpad a srot z pocinovaneho zeleza, oceli
28232	Trisky, hobliny, stepiny, piliny ap., pr. paketovane
28233	Pretavene ingoty zeleza, oceli
28239	Zelezny odpad a srot, j.n.
283	Rudy, koncentráty mědi, kamínek měděný, měď cementová
2831	Rudy a koncentráty mědi
2832	Měděný kamínek, cementová měď (sražená měď)
284	Rudy, koncentráty niklu, kamínek niklový ap.
2841	Rudy a koncentráty niklu
2842	Niklový kamínek, kysličník, sintry, ost. meziprodukty
28421	Niklovy kaminek
28422	Kyslicnik, sintry, ostatni meziprodukty vyroby niklu
285	Rudy, koncentráty hliníku (vč. přir. kysl. hlinitého)
2851	Rudy a koncentráty hliníku
2852	Alumina (přirozený kysličník hlinitý)
286	Rudy, koncentráty uranu, thoria
2861	Rudy a koncentráty uranu
2862	Rudy a koncentráty thoria
287	Rudy, koncentráty olova, zinku, cínu aj. kovů obec. jn.
2874	Rudy a koncentráty olova
2875	Rudy a koncentráty zinku
2876	Rudy a koncentráty cínu
2877	Rudy a koncentráty manganu
2878	Rudy a koncentráty molybdenu, niobu, tantalu, titanu
28781	Rudy a koncentraty molybdenu, prazene
28782	Rudy a koncentraty molybdenu, ne prazene
28783	Rudy a koncentraty titanu
28784	Rudy a koncentraty zirkonu
28785	Rudy a koncentraty niobu, tantalu, vanadu
2879	Rudy a koncentráty ostatních neželezných kovů
28791	Rudy a koncentraty chromu
28792	Rudy a koncentraty wolframu
28793	Rudy a koncentraty kobaltu
28799	Rudy a koncentraty obecnych kovu, j.n.
288	Odpad, šrot mědi, niklu, hliníku, olova, zinku, cínu
2881	Popel, zbytky obsahujicí kovy, kovové sloučeniny,j.n.
2882	Odpad a šrot ost. neželezných obecných kovů, j.n.
28821	Odpad a srot medi
28822	Odpad a srot niklu
28823	Odpad a srot hliniku
28824	Odpad a srot olova
28825	Odpad a srot zinku (ne prach)
28826	Odpad a srot cinu
289	Rudy, koncentráty kovů drahých, odpad, šrot, smetky
2891	Rudy a koncentráty drahých kovů
28911	Rudy a koncentraty stribra
28919	Rudy a koncentraty ostatnich drahych kovu
2892	Odpad, šrot drahých kovů, kovů plátovaných drah. kovy
28921	Odpad, srot platiny, vc. kovu platovanych platinou
28929	Odpad, srot drahych kovu, j.n., kovu platovanych
29	Suroviny živočišného a rostlinného původu, j.n.
291	Suroviny živočišného původu jn. (kosti, vlasy ap.)
2911	Kosti, rohy, slonovina, kopyta, drápy, korály,lastury
29111	Kosti, rohove kosti, nezpracovane, zbavene tuku apod.
29115	Koraly, lastury, sepiove kosti ap. nezpracovane
29116	Slonovina, zelvovina, kostice, parohy, kopyta ap.
2919	Suroviny živočišného původu, j.n.
29191	Lidske vlasy, nezpracovane, pr. prane, odpad
29192	Stetiny a chlupy k vyrobe stetcu a kartacu
29193	Streva, mechyre a zaludky zvirat
29194	Sperma skotu
29195	Kuze aj. casti ptaku, s perim, peri, casti per, apod.
29196	Produkty z ryb, korysu apod., mrtva zvirata, nejedla
29198	Ambra prava, kastoreum, pizmo cibety, kabara apod.
29199	Zivocisne produkty, j.n.
292	Suroviny rostlinného původu jn. (bambus, semena ap.)
2922	Šelak, přír. klovatiny, pryskyřice, klejopryskyřice
29222	Arabska guma
29229	Ost. prir. klovatiny, pryskyrice, klejopryskyrice ap.
2923	Rostlinně suroviny ke splétání
29231	Bambus
29232	Rotan (spanelsky rakos)
29239	Rostlinne suroviny ostatni uzivane ke spletani
2924	Rostliny k výrobě voňavek a léčiv
29242	Koreny zen-senu
29249	Ostatni rostliny k vyrobe vonavek, leciv
2925	Semena, plody a spóry, j.n., užívané k setí
29251	Semeno cukrovky
29252	Semena krmnych plodin (ne cukrovka)
29253	Semena bylin pestovanych predevsim pro jejich kvet
29254	Ostatni semena rostlin
29259	Semena, plody, spory, j.n.
2926	Cibulky, hlízy, oddenky, rouby, živé stromy, ap.
29261	Cibule, hlizy, hlizovite koreny, odnoze, ap., cikorka
29269	Ostatni zive rostliny, rizky, rouby, podhoubi hub
2927	Řezané květy, listy
29271	Rezane kvetiny, poupata, cerstve, susene aj. upravene
29272	Listy, vetve, travy, mechy aj., cerstve, susene ap.
2929	Suroviny rostlinného původu, j.n.
29294	Rostlinne mizy, vytazky
29295	Pektinove latky, pektinaty, pektaty
29296	Lepidla, zahustovadla z rostlinnych produktu
29297	Morske a jine rasy
29299	Rostlinne suroviny, rostlinne produkty, j.n.
3	Minerální paliva, maziva a příbuzné materiály
32	Uhlí, koks a brikety
321	Uhlí, případně mleté, ne však aglomerované
3211	Antracit, př. mletý, ne aglomerovaný
3212	Ostatní uhlí, případně mleté
32121	Zivicne uhli, neaglomerovane
32122	Ostatni uhli, neaglomerovane
322	Brikety, uhlí hnědé, rašelina
3221	Brikety, bulety apod. pevná paliva vyráběná z uhli
3222	Hnědé uhlí, př. mleté
32221	Hnede uhli, neaglomerovane
32222	Hnede uhli, aglomerovane
3223	Rašelina (vč. rašelinového humusu), př. aglomerovaná
325	Koks, polokoks (vč. dřevěného) z uhlí, rašeliny
33	Ropa, ropné výrobky a příbuzné materiály
333	Oleje ropné, oleje z nerostů živičných surové (ropa)
334	Oleje ropné, oleje z nerostů živičných (ne surové), přípravky z nich j.n.; odpadní oleje
3346	Oleje ropné, oleje z nerostů živičných (ne surové), přípravky z nich j.n. min. 70% čisté
3347	Odpadní oleje
335	Produkty zbytkové z ropy jn. a příbuzné materiály
3351	Ropná vazelína, parafínový gac, vosky ap. produkty
33511	Ropna vazelina (petrolatum)
33512	Parafínový gáč, mikrokrystalický vosk, zemní vosk
3352	Mineralní dehty, produkty jejich destilace
33521	Dehet z destilace uhli, raseliny, ost. nerostne dehty
33522	Benzen
33523	Toluen
33524	Xylen
33525	Oleje, dalsi produkty j.n. z destilace uhelneho dehtu
3353	Smola, smolný koks z uhelného aj. nerostných dehtů
33531	Smola z uhelneho a jinych nerostnych dehtu
33532	Smolny koks
3354	Ropný asfalt, ropný koks, živičné směsi, j.n.
33541	Ropny asfalt a ostatni zbytky oleju
33542	Ropny koks
33543	Zivicne smesi na bazi asfaltu, zivic, dehtu, smoly
34	Topný plyn, zemní i průmyslově vyráběný
342	Propan a butan zkapalněný
3421	Propan, zkapalněný
3425	Butan, zkapalněný
343	Plyn zemní, případně zkapalněný
3431	Zemní plyn, zkapalněný
3432	Zemní plyn, v plynném stavu
344	Plyny z ropy a ostatní plynné uhlovodíky jn.
3441	Etylen, propylen, butylen, butadien, zkapalněné
3442	Plynné uhlovodíky, zkapalněné, j.n.
3449	Plynné uhlovodíky, v plynném stavu, j.n.
345	Svítiplyn z uhlí, plyn vodní, generátorový ap. plyny
35	Elektrický proud
351	Energie elektrická
4	Živočišné a rostlinné oleje, tuky a vosky
41	Živočišné oleje a tuky
411	Oleje a tuky živočišné
4111	Tuky a oleje z ryb nebo z mořských savců
41111	Olej z rybich jater, jeho frakce
41112	Tuky, oleje, jejich frakce z ryb, ne oleje z jater
41113	Tuky, oleje, jejich frakce z morskych savcu
4112	Vepřové sádlo, jiný tuk vepřový, drůbeží, škvařený
4113	Živočišné oleje, tuky, j.n.
41131	Veprovy tuk neprorostly, drubezi tuk, ne skvareny
41132	Luj z hoveziho dobytka, ovci, koz, surovy, skvareny
41133	Stearin ze sadla, oleje, loje, oleostearin, apod.
41135	Tuk z vlny, tukové látky z tuku z vlny (vč. lanolinu)
41139	Zivocisne oleje, tuky, jejich frakce, j.n.
42	Nevysychavé rostlinné tuky a oleje, surové, rafinované nebo přerušeně destilované
421	Tuky, oleje nevysychavé rostlinné "vláčné" surové ap.
4211	Sojový olej, jeho frakce
42111	Sojovy olej surovy, pr. zbaveny pryskyrice
42119	Sojovy olej rafinovany, jeho frakce
4212	Bavlníkový olej, jeho frakce
42121	Bavlnikovy olej surovy, pr. po odstraneni gossypolu
42129	Bavlnikovy olej rafinovany, jeho frakce
4213	Podzemnicový olej, jeho frakce
42131	Podzemnicovy olej surovy
42139	Podzemnicovy olej rafinovany, jeho frakce
4214	Olivový olej, ostatní oleje získávané z oliv
42141	Olivovy olej z prvniho lisovani za studena
42142	Ostatni olivovy olej, jeho frakce
42149	Oleje, jejich frakce ziskane z oliv, smesi oleju
4215	Slunečnicový, saflorový (světlicový) olej, frakce
42151	Slunecnicovy, saflorovy olej surovy
42159	Slunecnicovy, saflorovy olej rafinovany, jeho frakce
4216	Kukuřičný olej, jeho frakce
42161	Kukuricny olej surovy
42169	Kukuricny olej rafinovany, jeho frakce
4217	Řepkový, kolzový, hořčičný olej, jejich frakce
42171	Repkovy, kolzovy, horcicny olej surovy
42179	Repkovy, kolzovy, horcicny olej rafinovany, frakce
4218	Sezamový olej, jeho frakce
422	Tuky, oleje nevysychavé rostlin. surové (ne "vláčné")
4221	Lněný olej, jeho frakce
42211	Lneny olej surovy
42219	Lneny olej rafinovany, frakce
4222	Palmový olej, jeho frakce
42221	Palmovy olej surovy
42229	Palmovy olej rafinovany, frakce
4223	Kokosový olej (z kopry), jeho frakce
42231	Kokosovy olej surovy
42239	Kokosovy olej rafinovany, frakce
4224	Palmojádrový, babassový olej, jejich frakce
42241	Palmojadrovy, babassovy olej surovy
42249	Palmojadrovy, babassovy rafinovany olej, jeho frakce
4225	Ricinový olej, jeho frakce
4229	Ostatní nevysychavé rostlinné tuky, surové, rafinované apod., jiné než "vláčné"
43	Živočišné a rostlinné tuky a oleje, zušlechtěné; vosky živočišného nebo rostlinného původu; nepoživatelné směsi nebo výrobky z živočišných a rostlinných olejů, j.n.
431	Tuky, oleje rostlinné a živočišné zušlechtěné, vosky
4311	Tuky a oleje, vařené, oxidované, dehydrované, sířené
4312	Živočišné, rostlinné tuky, oleje, frakce, neupravené
43121	Zivocisne tuky, oleje, jejich frakce
43122	Rostlinne tuky, oleje, jejich frakce
4313	Degras, zbytky z úpravy mastných látek, živočišných nebo rostlinných vosků
4314	Vosky živočišného, rostlinného původu
43141	Rostlinne vosky (ne triglyceridy), pr. rafinovane ap.
43142	Vceli vosk, vosky, spermaceta hmyzu, pr. rafinovane
5	Chemikálie a příbuzné výrobky, j.n.
51	Organické chemikálie
511	Uhlovodíky jn. a jejich deriváty
5111	Acyklické uhlovodíky
51111	Etylen
51112	Propen (propylen)
51113	Butyleny, butadieny a methylbutadieny
51114	Nasycene acyklicke uhlovodiky
51119	Acyklicke uhlovodiky, j.n.
5112	Cyklické uhlovodíky
51121	Cyklohexan
51122	Benzen, cisty
51123	Toluen, cisty
51124	Xyleny, ciste
51125	Styren
51126	Etylbenzen
51127	Kumen
51129	Cyklicke uhlovodiky, j.n.
5113	Halogenové deriváty uhlovodíku
51131	Vinylchlorid (chloretylen)
51132	Trichloretylen
51133	Tetrachloretylen (perchloretylen)
51134	Ost. nenasycene chlorovane derivaty acykl. uhlovodiku
51135	1,2-dichloretan (etylendischlorid)
51136	Ost. nasycene chlorovane derivaty acyklic. uhlovodiku
51137	Derivaty acykl. uhlovodiku fluorovane, bromovane ap.
51138	Halogenove derivaty acyklickych uhlovodiku
51139	Halogenovane derivaty uhlovodiku, j.n.
5114	Deriváty uhlovodíku sulfonované, nitrozované apod.
512	Alkoholy, fenoly, fenolalkoholy a jejich deriváty
5121	Acyklické jednosytné alkoholy
51211	Metanol (metylalkohol)
51212	Propylalkohol, izopropylalkohol (propanoly)
51213	Butanoly
51214	Oktanol (oktylalkohol), jeho izomery
51215	Nedenaturovaný etylalkohol o jakosti 80 % nebo silnější
51216	Etylalkohol a ostatní lihy, denaturované, jakékoli jakosti
51217	Mastné alkoholy, průmyslové
51218	Monokarboxylové mastné kyseliny, průmyslové; olejové kyseliny z rafinace
51219	Ostatní jenosytné alkoholy
5122	Ostatní acyklické alkoholy
51221	Etylenglykol (etanediol)
51222	Glycerol (glycerin)
51223	Pentaerytriol
51224	Mannit
51225	D-glucit (sorbit)
51229	Ostatni acyklicke alkoholy
5123	Cyklické alkoholy a jejich deriváty
51231	Cyklanove, cyklenove, cykloterpenove alkoholy
51235	Aromaticke cyklicke alkoholy a jejich derivaty
